x,ma,mb,y
5,5,5.5,5.667
4.6,5.6,5.667,5.5
4.8,4.6,4.667,5.333
5.4,6,6.333,6
4,3.2,3,4.833
3.6,4,3.833,4
3.8,3.8,4.333,5.333
4.4,5.2,6.167,6.833
5.2,5.2,5.167,6.167
5,4,4,5.5
4.6,5,4.833,5.833
4.6,5,5.333,5.667
5.2,6.4,6.833,7
4,4.8,5,5
1.8,2.2,1.333,4.333
3.2,4.4,5.333,4.833
4.4,5,4.167,5.333
4.6,5.4,6.167,7
4.6,5,4.667,5.5
5,5.6,4,6.167
4,4,4,4.5
3.4,3.4,3.5,4.667
5.4,4.2,4.5,6.667
4.6,5.6,6,6.167
5.4,5.6,5,6.167
4,4,5.167,6.167
5.4,5.6,4.5,6.167
2.8,3.2,3.333,3.333
4.4,4.4,5.5,5.5
5,5.4,5.5,5.833
5.6,5.2,6,6.5
5.4,6.4,5.167,6.333
5,5.8,6.333,6
2.6,2.4,2.5,3.667
5.6,5.6,5.833,6.5
5,5,5,5.667
6,6,4.833,6.5
5.4,6.4,6.167,5.833
4.2,4,4.5,5.167
4.4,4.8,4.667,5.167
5.2,5.4,5.667,6.333
5.4,5.4,5.833,5.333
4.6,4.6,5.5,6
3,5.8,5.333,5.833
5.4,6,5.833,6
4.6,5.4,5.5,5.667
4.6,5.6,6.167,6.833
5.2,5.6,5.333,5.833
5.4,5.8,5.5,6
5.8,5,5,6
4.4,3.6,4.167,4.5
7,7,7,7
4.6,5.2,4.833,5.833
5.8,5.6,5.5,5.5
1,1,1,3
4,4.2,4,4
3,4.4,3.833,3.5
5.2,4.4,4.667,4.167
6.4,6.8,6.333,6.667
4.2,4,3.667,4
3.2,3.6,3.167,3.5
6.8,6.8,6.5,6.833
4.6,6,5.833,6.667
6.6,6.6,6.5,6.5
